"","Block no.","Case"
"S1",1,1
"S2",1,2
"S3",1,2
"S4",1,2
"S5",1,1
"S6",1,1
"S7",2,1
"S8",2,2
"S9",2,2
"S10",2,1
"S11",2,1
"S12",2,2
"S13",3,2
"S14",3,2
"S15",3,2
"S16",3,1
"S17",3,1
"S18",3,1
"S19",4,1
"S20",4,2
"S21",4,2
"S22",4,1
"S23",4,1
"S24",4,2
"S25",5,2
"S26",5,1
"S27",5,2
"S28",5,2
"S29",5,1
"S30",5,1
"S31",6,2
"S32",6,1
"S33",6,2
"S34",6,2
"S35",6,1
"S36",6,1
"S37",7,1
"S38",7,2
"S39",7,2
"S40",7,2
"S41",7,1
"S42",7,1
"S43",8,1
"S44",8,2
"S45",8,1
"S46",8,1
"S47",8,2
"S48",8,2
"S49",9,1
"S50",9,1
"S51",9,2
"S52",9,1
"S53",9,2
"S54",9,2
"S55",10,2
"S56",10,1
"S57",10,2
"S58",10,2
"S59",10,1
"S60",10,1
"S61",11,1
"S62",11,2
"S63",11,2
"S64",11,1
"S65",11,1
"S66",11,2
"S67",12,1
"S68",12,2
"S69",12,2
"S70",12,1
"S71",12,1
"S72",12,2
"S73",13,2
"S74",13,1
"S75",13,1
"S76",13,1
"S77",13,2
"S78",13,2
"S79",14,1
"S80",14,2
"S81",14,2
"S82",14,1
"S83",14,1
"S84",14,2
"S85",15,2
"S86",15,1
"S87",15,2
"S88",15,1
"S89",15,2
"S90",15,1
"S91",16,2
"S92",16,2
"S93",16,2
"S94",16,1
"S95",16,1
"S96",16,1
"S97",17,1
"S98",17,2
"S99",17,2
"S100",17,1
"S101",17,1
"S102",17,2
"S103",18,1
"S104",18,2
"S105",18,1
"S106",18,2
"S107",18,1
"S108",18,2
"S109",19,2
"S110",19,1
"S111",19,2
"S112",19,1
"S113",19,2
"S114",19,1
"S115",20,2
"S116",20,1
"S117",20,1
"S118",20,1
"S119",20,2
"S120",20,2
"S121",21,1
"S122",21,1
"S123",21,2
"S124",21,2
"S125",21,1
"S126",21,2
"S127",22,1
"S128",22,1
"S129",22,2
"S130",22,1
"S131",22,2
"S132",22,2
"S133",23,1
"S134",23,1
"S135",23,2
"S136",23,1
"S137",23,2
"S138",23,2
"S139",24,1
"S140",24,2
"S141",24,1
"S142",24,2
"S143",24,2
"S144",24,1
"S145",25,2
"S146",25,1
"S147",25,2
"S148",25,1
"S149",25,1
"S150",25,2
